id,name,type,age,year,sector,genre,land,Produktionsfirma,Regie
paba,Paloma Baeza,1,,,8,,,,
biau,Bille August,1,,,8,,,,
rilan,Richard Lanni,1,,,8,,,,
garo,Gary Ross,1,,,8,,,,
jabl,Jason Blundell,1,,,8,,,,
admu,Adrian Munsey,1,,,8,,,,
maos,Magdalena Osinska,1,,,8,,,,
ivsi,Ivan Silvestrini,1,,,8,,,,
habr,Harry Bradbeer,1,,,8,,,,
chsc,Christian Schwochow,1,,,8,,,,
lube,Luigi Bewio,1,,,8,,,,
sale,Sam Leifer,1,,,8,,,,
brad,Bryan Adams,1,,,8,,,,
sane,Sam Neill,1,,,8,,,,
lema,Les Mayfield,1,,,8,,,,
jomc,Joseph McGinty Nichol,1,,,8,,,,
